date;US;India;Germany;Italy;Australia;SIR_Italy;SIR_Germany;SIR_Australia;SIR_US;SIR_India
2020-01-22;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0
2020-01-23;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0
2020-01-24;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0
2020-01-25;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0
2020-01-26;5;0;0;0;4;0.0;0.0;0.0;0.0;0.0
2020-01-27;5;0;1;0;5;0.0;0.0;0.0;0.0;0.0
2020-01-28;5;0;4;0;5;0.0;0.0;0.0;0.0;0.0
2020-01-29;6;0;4;0;6;0.0;0.0;0.0;0.0;0.0
2020-01-30;6;1;4;0;9;0.0;0.0;0.0;0.0;0.0
2020-01-31;8;1;5;2;9;0.0;0.0;0.0;0.0;0.0
2020-02-01;8;1;8;2;12;0.0;0.0;0.0;0.0;0.0
2020-02-02;8;2;10;2;12;0.0;0.0;0.0;0.0;0.0
2020-02-03;11;3;12;2;12;0.0;0.0;0.0;0.0;0.0
2020-02-04;11;3;12;2;13;0.0;0.0;0.0;0.0;0.0
2020-02-05;11;3;12;2;13;0.0;0.0;0.0;0.0;0.0
2020-02-06;12;3;12;2;14;0.0;0.0;0.0;0.0;0.0
2020-02-07;12;3;13;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-08;12;3;13;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-09;12;3;14;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-10;12;3;14;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-11;13;3;16;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-12;13;3;16;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-13;14;3;16;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-14;14;3;16;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-15;14;3;16;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-16;14;3;16;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-17;14;3;16;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-18;14;3;16;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-19;14;3;16;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-20;14;3;16;3;15;0.0;0.0;0.0;0.0;0.0
2020-02-21;16;3;16;20;15;0.0;0.0;0.0;0.0;0.0
2020-02-22;16;3;16;62;15;0.0;0.0;0.0;0.0;0.0
2020-02-23;16;3;16;155;15;0.0;0.0;0.0;0.0;0.0
2020-02-24;16;3;16;229;15;0.0;0.0;0.0;0.0;0.0
2020-02-25;16;3;16;322;15;0.0;0.0;0.0;0.0;0.0
2020-02-26;16;3;21;453;15;453.0;21.0;0.0;0.0;0.0
2020-02-27;17;3;26;655;15;460.2950167571785;21.426162206193105;0.0;0.0;0.0
2020-02-28;17;3;53;888;15;467.70750703291367;21.86097264049713;0.0;0.0;0.0
2020-02-29;25;3;66;1128;25;475.23936249733663;22.30460686239353;0.0;0.0;0.0
2020-03-01;32;3;117;1694;27;482.8925051923551;22.75724393365357;0.0;0.0;0.0
2020-03-02;55;5;150;2036;30;490.66888810249264;23.219066554347005;0.0;0.0;0.0
2020-03-03;74;5;188;2502;39;498.5704956553537;23.690261130133173;0.0;0.0;0.0
2020-03-04;107;28;240;3089;52;506.59934423069546;24.171017849339272;0.0;0.0;0.0
2020-03-05;184;30;349;3858;55;514.7574827007994;24.661530759696905;0.0;0.0;0.0
2020-03-06;237;31;534;4636;60;523.0469929088895;25.161997847167505;0.0;0.0;0.0
2020-03-07;403;34;684;5883;63;531.4699901890027;25.672621115092102;0.0;0.0;0.0
2020-03-08;519;39;847;7375;76;540.0286238967497;26.19360666715227;0.0;0.0;0.0
2020-03-09;594;43;1112;9172;91;548.725077950619;26.72516479743221;0.0;0.0;0.0
2020-03-10;782;56;1296;10149;107;557.5615715681886;27.26751006261565;0.0;0.0;0.0
2020-03-11;1147;62;1567;12462;128;566.5403596855521;27.82086136420885;0.0;0.0;0.0
2020-03-12;1586;73;2369;15113;128;575.6637334886204;28.385442034883337;0.0;0.0;0.0
2020-03-13;2219;82;3062;17660;200;584.9340210463807;28.96147994359948;0.0;0.0;0.0
2020-03-14;2978;102;3795;21157;250;594.3535879059117;29.549207615408623;0.0;0.0;0.0
2020-03-15;3212;113;4838;24747;297;603.9248377053372;30.148862274487907;0.0;0.0;0.0
2020-03-16;4679;119;6012;27980;377;613.65021278593;30.760685959653312;0.0;0.0;0.0
2020-03-17;6512;142;7156;31506;452;623.5321948115388;31.38492562404421;0.0;0.0;0.0
2020-03-18;9169;156;8198;35713;568;633.5733054068556;32.02183322542086;0.0;0.0;0.0
2020-03-19;13663;194;10999;41035;681;643.7761068021841;32.67166583558288;0.0;0.0;0.0
2020-03-20;20030;244;13957;47021;791;654.1432024614496;33.33468574810192;0.0;0.0;0.0
2020-03-21;26025;330;16662;53578;1071;664.6772377353619;34.01116058234355;0.0;0.0;0.0
2020-03-22;34944;396;18610;59138;1549;675.3809005739103;34.701363388741875;0.0;34944.0;0.0
2020-03-23;46096;499;22672;63927;1682;686.2569221875978;35.405572748690425;0.0;69989.73373799973;0.0
2020-03-24;56714;536;27436;69176;2044;697.3080777371366;36.12407290076713;0.0;135338.13516987793;0.0
2020-03-25;68841;657;31554;74386;2364;708.537187073612;36.8571538501436;0.0;245866.94778765005;0.0
2020-03-26;86662;727;36508;80589;2810;719.9471155122964;37.605111483739954;0.0;405247.96012633;0.0
2020-03-27;105253;887;42288;86498;3143;731.5407744399644;38.36824770109844;0.0;589357.0105927779;0.0
2020-03-28;127417;987;48582;92472;3640;743.3211220959862;39.14687053118203;0.0;755010.3425388776;0.0
2020-03-29;143544;1024;52547;97689;3984;755.2911643214272;39.94129424736731;0.0;874401.5888090036;0.0
2020-03-30;165698;1251;57298;101739;4361;767.4539553458418;40.75183949769813;0.0;948285.225967008;0.0
2020-03-31;192079;1397;61913;105792;4559;779.8125986594675;41.57883343575835;0.0;990815.2389498068;0.0
2020-04-01;223254;1998;67366;110574;4862;792.370247654667;42.422609867874;0.0;1015346.1849663312;0.0
2020-04-02;255530;2543;73522;115242;5116;805.1301064653585;43.28350936756687;0.0;1030485.2179249746;0.0
2020-04-03;287931;2567;79696;119827;5330;818.0954307837706;44.161879415720925;0.0;1040967.4215308188;0.0
2020-04-04;319776;3082;85778;124632;5550;831.2695286963847;45.05807454068719;0.0;1049209.946163197;0.0
2020-04-05;349016;3588;91714;128948;5687;844.6557616501973;45.972456471972514;0.0;1056401.4058200854;0.0
2020-04-06;380798;4778;95391;132547;5797;858.257545147016;46.90539428770539;0.0;1063114.7796917204;0.0
2020-04-07;410834;5311;99225;135586;5895;872.0783496442775;47.85726454616448;0.0;1069623.0986052805;0.0
2020-04-08;441897;5916;103228;139422;6010;886.1217014413114;48.82845144398989;0.0;1076055.49730514;0.0
2020-04-09;477507;6725;108202;143626;6108;900.3911835824634;49.81934697204312;0.0;1082472.7409005158;0.0
2020-04-10;511790;7598;113525;147577;6215;914.8904369694732;50.83035109904557;0.0;1088903.3348002604;0.0
