;date;US;India;Germany;Italy;Australia
0;2020-01-22;1;0;0;0;0
1;2020-01-23;1;0;0;0;0
2;2020-01-24;2;0;0;0;0
3;2020-01-25;2;0;0;0;0
4;2020-01-26;5;0;0;0;4
5;2020-01-27;5;0;1;0;5
6;2020-01-28;5;0;4;0;5
7;2020-01-29;6;0;4;0;6
8;2020-01-30;6;1;4;0;9
9;2020-01-31;8;1;5;2;9
10;2020-02-01;8;1;8;2;12
11;2020-02-02;8;2;10;2;12
12;2020-02-03;11;3;12;2;12
13;2020-02-04;11;3;12;2;13
14;2020-02-05;11;3;12;2;13
15;2020-02-06;12;3;12;2;14
16;2020-02-07;12;3;13;3;15
17;2020-02-08;12;3;13;3;15
18;2020-02-09;12;3;14;3;15
19;2020-02-10;12;3;14;3;15
20;2020-02-11;13;3;16;3;15
21;2020-02-12;13;3;16;3;15
22;2020-02-13;14;3;16;3;15
23;2020-02-14;14;3;16;3;15
24;2020-02-15;14;3;16;3;15
25;2020-02-16;14;3;16;3;15
26;2020-02-17;14;3;16;3;15
27;2020-02-18;14;3;16;3;15
28;2020-02-19;14;3;16;3;15
29;2020-02-20;14;3;16;3;15
30;2020-02-21;16;3;16;20;15
31;2020-02-22;16;3;16;62;15
32;2020-02-23;16;3;16;155;15
33;2020-02-24;16;3;16;229;15
34;2020-02-25;16;3;16;322;15
35;2020-02-26;16;3;21;453;15
36;2020-02-27;17;3;26;655;15
37;2020-02-28;17;3;53;888;15
38;2020-02-29;25;3;66;1128;25
39;2020-03-01;32;3;117;1694;27
40;2020-03-02;55;5;150;2036;30
41;2020-03-03;74;5;188;2502;39
42;2020-03-04;107;28;240;3089;52
43;2020-03-05;184;30;349;3858;55
44;2020-03-06;237;31;534;4636;60
45;2020-03-07;403;34;684;5883;63
46;2020-03-08;519;39;847;7375;76
47;2020-03-09;594;43;1112;9172;91
48;2020-03-10;782;56;1296;10149;107
49;2020-03-11;1147;62;1567;12462;128
50;2020-03-12;1586;73;2369;15113;128
51;2020-03-13;2219;82;3062;17660;200
52;2020-03-14;2978;102;3795;21157;250
53;2020-03-15;3212;113;4838;24747;297
54;2020-03-16;4679;119;6012;27980;377
55;2020-03-17;6512;142;7156;31506;452
56;2020-03-18;9169;156;8198;35713;568
57;2020-03-19;13663;194;10999;41035;681
58;2020-03-20;20030;244;13957;47021;791
59;2020-03-21;26025;330;16662;53578;1071
60;2020-03-22;34944;396;18610;59138;1549
61;2020-03-23;46096;499;22672;63927;1682
62;2020-03-24;56714;536;27436;69176;2044
63;2020-03-25;68841;657;31554;74386;2364
64;2020-03-26;86662;727;36508;80589;2810
65;2020-03-27;105253;887;42288;86498;3143
66;2020-03-28;127417;987;48582;92472;3640
67;2020-03-29;143544;1024;52547;97689;3984
68;2020-03-30;165698;1251;57298;101739;4361
69;2020-03-31;192079;1397;61913;105792;4559
70;2020-04-01;223254;1998;67366;110574;4862
71;2020-04-02;255530;2543;73522;115242;5116
72;2020-04-03;287931;2567;79696;119827;5330
73;2020-04-04;319776;3082;85778;124632;5550
74;2020-04-05;349016;3588;91714;128948;5687
75;2020-04-06;380798;4778;95391;132547;5797
76;2020-04-07;410834;5311;99225;135586;5895
77;2020-04-08;441897;5916;103228;139422;6010
78;2020-04-09;477507;6725;108202;143626;6108
79;2020-04-10;511790;7598;113525;147577;6215
80;2020-04-11;540714;8446;117658;152271;6303
81;2020-04-12;567022;9205;120479;156363;6315
82;2020-04-13;594165;10453;123016;159516;6351
83;2020-04-14;622493;11487;125098;162488;6415
84;2020-04-15;648390;12322;127584;165155;6440
85;2020-04-16;678028;13430;130450;168941;6462
86;2020-04-17;711135;14352;133830;172434;6522
87;2020-04-18;738464;15722;137439;175925;6568
88;2020-04-19;763886;17615;139897;178972;6610
89;2020-04-20;793970;18539;141672;181228;6623
90;2020-04-21;820045;20080;143457;183957;6645
91;2020-04-22;849926;21370;145694;187327;6652
92;2020-04-23;881891;23077;148046;189973;6662
93;2020-04-24;913856;24530;150383;192994;6677
94;2020-04-25;944770;26283;152438;195351;6694
95;2020-04-26;970741;27890;154175;197675;6714
96;2020-04-27;995391;29451;155193;199414;6721
97;2020-04-28;1019964;31324;156337;201505;6744
98;2020-04-29;1046816;33062;157641;203591;6752
99;2020-04-30;1076518;34863;159119;205463;6766
100;2020-05-01;1111410;37257;160758;207428;6778
101;2020-05-02;1138174;39699;161703;209328;6799
102;2020-05-03;1161907;42505;162496;210717;6822
103;2020-05-04;1185709;46437;163175;211938;6847
104;2020-05-05;1209728;49400;163860;213013;6875
105;2020-05-06;1234210;52987;164807;214457;6894
106;2020-05-07;1261949;56351;166091;215858;6913
107;2020-05-08;1289132;59695;167300;217185;6918
108;2020-05-09;1313586;62808;168551;218268;6939
109;2020-05-10;1332333;67161;169218;219070;6948
110;2020-05-11;1351410;70768;169575;219814;6970
111;2020-05-12;1374792;74292;170508;221216;6980
112;2020-05-13;1394807;78055;171306;222104;6989
113;2020-05-14;1420697;81997;172239;223096;7019
114;2020-05-15;1445548;85784;173152;223885;7035
115;2020-05-16;1469598;90648;173772;224760;7044
116;2020-05-17;1488327;95698;174355;225435;7054
117;2020-05-18;1510635;100328;174697;225886;7068
118;2020-05-19;1531138;106475;175210;226699;7072
119;2020-05-20;1553964;112028;176007;227364;7081
120;2020-05-21;1579116;118226;176752;228006;7095
121;2020-05-22;1602945;124794;177212;228658;7099
122;2020-05-23;1623134;131423;177850;229327;7114
123;2020-05-24;1643308;138536;178281;229858;7114
124;2020-05-25;1662402;144950;178570;230158;7126
125;2020-05-26;1681128;150793;179002;230555;7139
126;2020-05-27;1699891;158086;179364;231139;7150
127;2020-05-28;1721158;165386;179717;231732;7165
128;2020-05-29;1746240;173491;180458;232248;7184
129;2020-05-30;1769320;181827;181196;232664;7192
130;2020-05-31;1788239;190609;181482;232997;7202
131;2020-06-01;1806079;198370;181815;233197;7221
132;2020-06-02;1826169;207191;182028;233515;7229
133;2020-06-03;1845325;216824;182370;233836;7240
134;2020-06-04;1873259;226713;182764;234013;7247
135;2020-06-05;1899699;236184;183271;234531;7252
136;2020-06-06;1919968;246622;183678;234801;7259
137;2020-06-07;1937794;257486;183979;234998;7265
138;2020-06-08;1954694;265928;184193;235278;7267
139;2020-06-09;1975015;276146;184543;235561;7274
140;2020-06-10;1996733;286605;184861;235763;7285
141;2020-06-11;2019011;297535;185416;236142;7289
142;2020-06-12;2044569;308993;185674;236305;7294
143;2020-06-13;2068726;320922;186022;236651;7320
144;2020-06-14;2087627;332424;186269;236989;7335
145;2020-06-15;2108626;343091;186461;237290;7347
146;2020-06-16;2133175;354065;186839;237500;7370
147;2020-06-17;2160225;366946;187184;237828;7391
148;2020-06-18;2188452;380532;187764;238159;7409
149;2020-06-19;2219506;395048;188534;238011;7411
150;2020-06-20;2251332;410451;189135;238275;7461
151;2020-06-21;2277168;425282;189822;238499;7474
152;2020-06-22;2306969;440215;190359;238720;7492
153;2020-06-23;2345698;456183;190862;238833;7521
154;2020-06-24;2381949;473105;191449;239410;7558
155;2020-06-25;2421248;490401;192079;239706;7595
156;2020-06-26;2470294;508953;192556;239961;7601
157;2020-06-27;2511048;528859;193243;240136;7686
158;2020-06-28;2553973;548318;193499;240310;7764
159;2020-06-29;2595268;566840;193761;240436;7834
160;2020-06-30;2645092;585481;194259;240578;7920
161;2020-07-01;2694215;604641;194725;240760;8001
162;2020-07-02;2749158;625544;195228;240961;8066
163;2020-07-03;2800662;648315;195674;241184;8260
164;2020-07-04;2846608;673165;196096;241419;8443
165;2020-07-05;2900336;697413;196335;241611;8583
166;2020-07-06;2943501;719664;196554;241819;8755
167;2020-07-07;3000732;742417;196944;241956;8886
168;2020-07-08;3061038;767296;197341;242149;9056
169;2020-07-09;3120694;793802;197783;242363;9374
170;2020-07-10;3189553;820916;198178;242639;9553
171;2020-07-11;3249992;849522;198556;242827;9797
172;2020-07-12;3310124;878254;198804;243061;9980
173;2020-07-13;3369488;906752;198963;243230;10251
174;2020-07-14;3435150;936181;199375;243344;10487
175;2020-07-15;3501176;968857;199726;243506;10810
176;2020-07-16;3571990;1003832;200260;243736;11233
177;2020-07-17;3638462;1039084;200843;243967;11441
178;2020-07-18;3702784;1077781;201372;244216;11802
179;2020-07-19;3761716;1118206;201574;244434;12069
180;2020-07-20;3822379;1155338;201823;244624;12428
181;2020-07-21;3890573;1193078;202345;244752;12894
182;2020-07-22;3958118;1238798;202799;245032;13302
183;2020-07-23;4026004;1288108;203368;245338;13595
184;2020-07-24;4101151;1337024;204183;245590;13950
185;2020-07-25;4165351;1385635;204964;245864;14403
186;2020-07-26;4221190;1435616;205269;246118;14935
187;2020-07-27;4280914;1480073;205609;246286;15303
188;2020-07-28;4345744;1531669;206242;246488;15582
189;2020-07-29;4409872;1581963;206926;246776;16298
190;2020-07-30;4479113;1634746;207828;247158;16903
191;2020-07-31;4543689;1695988;208698;247537;17280
192;2020-08-01;4601267;1750723;209653;247832;17895
193;2020-08-02;4648376;1803695;209893;248070;18318
194;2020-08-03;4690060;1855745;210402;248229;18730
195;2020-08-04;4751717;1908254;211281;248419;19445
196;2020-08-05;4806065;1964536;212022;248803;19890
197;2020-08-06;4866245;2027074;213067;249204;20272
198;2020-08-07;4926832;2088611;214214;249756;20698
199;2020-08-08;4990765;2153010;215336;250103;21084
200;2020-08-09;5045032;2215074;215891;250566;21397
